channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link
NS홈쇼핑	20260701	00:15	00:36	21	보험 2부	하나더퍼스트3N5건강보험+	보험 2부	단순	00:15	00:36	21	0	보험	생활/건강	0	https://m.nsmall.com/goods/36019264
SK스토아	20260701	00:31	01:32	61	율무팩 180ML 3개 +스파출라 1개	율무팩	율무팩 180ML 3개 +스파출라 1개	단순	00:31	01:32	61	21054800	건강식품	화장품/미용	69800	https://www.skstoa.com/display/goods/59155675
SK스토아	20260701	00:31	01:32	61	[믿쓰진]AGE20S 앰플 에센스 팩트 다이아 물광샷 아이스 기본 패키지(퍼플*1+실버*1+리필*3+메쉬백*1)	AGE20S	[믿쓰진]AGE20S 앰플 에센스 팩트 다이아 물광샷 아이스 기본 패키지(퍼플*1+실버*1+리필*3+메쉬백*1)	단순	00:31	01:32	61	4910000	건강식품	화장품/미용	69800	https://www.skstoa.com/display/goods/59155675
쇼핑엔티	20260701	00:32	01:32	60	[50％세일] 골드 카무트 효소 12박스 +  파로 5봉 + 복부마사지기	카무트	[50％세일] 골드 카무트 효소 12박스 +  파로 5봉 + 복부마사지기	단순	00:32	01:32	60	20592000	건강식품	식품	198000	https://www.shoppingntmall.com/display/goods/28268026
NS홈쇼핑	20260701	00:35	00:56	21	보험 3부	하나더퍼스트3N5건강보험+	보험 3부	단순	00:35	00:56	21	0	보험	생활/건강	0	https://m.nsmall.com/goods/36019264
신세계쇼핑	20260701	00:37	01:38	61	[론칭가 79,900원→1만원↓] 블루핏 NEW 시어니트 가디건 3종	블루핏	[론칭가 79,900원→1만원↓] 블루핏 NEW 시어니트 가디건 3종	단순	00:37	01:38	61	41520600	의류	패션의류	69900	https://www.shinsegaetvshopping.com/display/detail/20071369
KT알파쇼핑	20260701	00:37	01:38	61	라이나생명_암보험(상담형)	라이나생명	라이나생명_암보험(상담형)	단순	00:37	01:38	61	0	보험	여가/생활편의	0	https://m.kshop.co.kr/display/product/8125502
GS홈쇼핑 마이샵	20260701	00:38	01:39	61	최신상 하퍼스바자 멜라토닝 글로우크림 기본구성 (리뷰시 립 1종)	최신상	최신상 하퍼스바자 멜라토닝 글로우크림 기본구성 (리뷰시 립 1종)	단순	00:38	01:39	61	25771000		화장품/미용	109000	https://www.gsshop.com/prd/prd.gs?prdid=1111945917&brddate=20260701003800&pgmID=6737&ordChannel=WE&tveshop=Y
현대홈쇼핑 플러스샵	20260701	00:40	01:40	60	[프리스탠딩] 삼성 Bespoke AI 스팀 울트라 로봇청소기 [VR90F01AAG/AAH]	삼성	[프리스탠딩] 삼성 Bespoke AI 스팀 울트라 로봇청소기 [VR90F01AAG/AAH]	단순	00:40	01:40	60	42440000		디지털/가전	1680000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251710708
롯데원티비	20260701	00:40	01:20	40	[방송한정 패키지] 사임당 발패치 60매 + (방송에서만) 10매	사임당	[방송한정 패키지] 사임당 발패치 60매 + (방송에서만) 10매	단순	00:40	01:20	40	13215800		생활/건강	59800	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12910812
