channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category
NS홈쇼핑	20260706	00:20	01:01	41	예다함상조 2부	예다함특집+휴대용블랜더	예다함상조 2부	단순	00:20	01:01	41	0	일반렌탈	생활/건강
SK스토아	20260706	00:21	01:21	60	비오 트래블 백팩	비오	비오 트래블 백팩	복합	00:21	01:21	60	28430000		패션잡화
쇼핑엔티	20260706	00:32	01:32	60	라이나생명 (무)첫날부터 암보험(갱신형)	라이나생명	라이나생명 (무)첫날부터 암보험(갱신형)	단순	00:32	01:32	60	0	보험	여가/생활편의
KT알파쇼핑	20260706	00:39	01:41	62	르부르낙산_호텔숙박권	르부르낙산	르부르낙산_호텔숙박권	단순	00:39	01:41	62	70503000	여행	여가/생활편의
신세계쇼핑	20260706	00:57	01:58	61	[런칭가109,000원]디아레 리파인 썸머 헨리넥 풀오버 1종	디아레	[런칭가109,000원]디아레 리파인 썸머 헨리넥 풀오버 1종	단순	00:57	01:58	61	16644000	의류	패션의류
NS홈쇼핑	20260706	01:00	02:01	61	히트상품 앵콜방송1부	히트상품	히트상품 앵콜방송1부	복합	01:00	02:01	61	31953400		식품
홈앤쇼핑	20260706	01:00	02:00	60	(전고객 2단 찜기 증정)윤유선의 [헤르젠] AI CARE+ 쌀냉장고 21kg (색상선택)	헤르젠	(전고객 2단 찜기 증정)윤유선의 [헤르젠] AI CARE+ 쌀냉장고 21kg (색상선택)	단순	01:00	02:00	60	28712000	가전	디지털/가전
현대홈쇼핑	20260706	01:00	01:51	51	프리마클라쎄 GEO 프린트 셔츠 1종	프리마클라쎄	프리마클라쎄 GEO 프린트 셔츠 1종	단순	01:00	01:51	51	57790000	의류	패션의류
롯데홈쇼핑	20260706	01:00	02:00	60	[LBL] 26SS 린넨블렌디드 크로셰 가디건+니트 SET	LBL	[LBL] 26SS 린넨블렌디드 크로셰 가디건+니트 SET	단순	01:00	02:00	60	21145400	의류	패션의류
공영쇼핑	20260706	01:00	02:00	60	제주흑돼지 양념왕구이 7팩 (2.1kg)	제주흑돼지	제주흑돼지 양념왕구이 7팩 (2.1kg)	단순	01:00	02:00	60	23411700	일반식품	식품
CJ온스타일	20260706	01:00	01:31	31	서산 이창희 생강청.	서산	서산 이창희 생강청.	단순	01:00	01:31	31	5905200	일반식품	식품
SK스토아	20260706	01:21	02:01	40	(초특가) 라페어 인견100 핀턱 상하의 셋업(4종)	라페어	(초특가) 라페어 인견100 핀턱 상하의 셋업(4종)	단순	01:21	02:01	40	18872700	언더웨어	패션의류
