channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
현대홈쇼핑 플러스샵	20260710	00:20	01:00	40	린찐 삼선 누룽지탕 8팩 + 강황누룽지 8팩 (총 16팩 구성)	린찐	린찐 삼선 누룽지탕 8팩 + 강황누룽지 8팩 (총 16팩 구성)	단순	00:20	01:00	40	30266700		식품	66900	https://live.ecomm-data.com/report/hsshow/6a871cf95ec17afc6e2465f0ba75ee9d	https://www.hmall.com/md/pda/itemPtc?slitmCd=2147258691
SK스토아	20260710	00:31	01:32	61	+[믿쓰진][믿쓰진 패키지]단백질 앰플 최대 용량(35ml*6+10ml*2+무체*1+리프트볼*1+미스트 80ml*1)	단백질	+[믿쓰진][믿쓰진 패키지]단백질 앰플 최대 용량(35ml*6+10ml*2+무체*1+리프트볼*1+미스트 80ml*1)	단순	00:31	01:32	61	11985000	미용	화장품/미용	159000	https://live.ecomm-data.com/report/hsshow/7e4d603c32d622107d18a78f7536b4f8	https://www.skstoa.com/display/goods/65588838
쇼핑엔티	20260710	00:32	01:33	61	26SS ODV 소프트 볼륨 팬츠 3종	26SS	26SS ODV 소프트 볼륨 팬츠 3종	단순	00:32	01:33	61	14816700	의류	패션의류	49900	https://live.ecomm-data.com/report/hsshow/f8f3c4015c27daf981ca31fd9752021a	https://www.shoppingntmall.com/display/goods/27963056
KT알파쇼핑	20260710	00:34	01:38	64	데이즈온_아세로라	데이즈온	데이즈온_아세로라	단순	00:34	01:38	64	32471000	건강식품	식품	248000	https://live.ecomm-data.com/report/hsshow/e68cf5882456429b28e05728966d4ac1	https://m.kshop.co.kr/display/product/10046203
신세계쇼핑	20260710	00:37	01:38	61	[런칭가79,000원→1만원↓] 에디티드 텐셀 모달 핀스트라이프 자켓 	트라이	[런칭가79,000원→1만원↓] 에디티드 텐셀 모달 핀스트라이프 자켓 	단순	00:37	01:38	61	41886000	언더웨어	패션의류	69000	https://live.ecomm-data.com/report/hsshow/4a904c430c647375007cc6db0e6fb4a5	https://www.shinsegaetvshopping.com/display/detail/20070972
롯데원티비	20260710	00:40	01:20	40	[릴리오] ○by 오일릴리 에센셜 캐시미어 실크 블렌디드 시퀸 V넥 니트	○by	[릴리오] ○by 오일릴리 에센셜 캐시미어 실크 블렌디드 시퀸 V넥 니트	단순	00:40	01:20	40	8540000		패션의류	89000	https://live.ecomm-data.com/report/hsshow/5986b775f758da11ebdc52bf8b23fff9	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12836409
NS홈쇼핑 샵플러스	20260710	00:42	01:44	62	아이스고구마1	아이스	아이스고구마1	단순	00:42	01:44	62	15321600		식품	39900	https://live.ecomm-data.com/report/hsshow/e3f02f8b0f46aa6f5e12c6bc93f955cd	https://m.nsmall.com/goods/35988266
CJ온스타일 플러스	20260710	00:45	01:45	60	[최초가 89,900원] 26SS 유넥 플레어 티블라우스 5종	26SS	[최초가 89,900원] 26SS 유넥 플레어 티블라우스 5종	단순	00:45	01:45	60	51753600		패션의류	59900	https://live.ecomm-data.com/report/hsshow/dc6ba27d7a7d9c66bdf6ab2ea58bc974	https://display.cjonstyle.com/p/item/2083421295
GS홈쇼핑 마이샵	20260710	00:58	01:39	41	[런칭49,900원]26신상 조아하다 프리사이즈 플리츠 상하의 3세트	26신상	[런칭49,900원]26신상 조아하다 프리사이즈 플리츠 상하의 3세트	단순	00:58	01:39	41	13406400		패션의류	39900	https://live.ecomm-data.com/report/hsshow/0c8a8f2c365c721b1152ba7284875e5c	https://www.gsshop.com/prd/prd.gs?prdid=1110736735&brddate=20260715043400&pgmID=6753&ordChannel=WE&tveshop=Y
현대홈쇼핑	20260710	01:00	01:50	50	어반어라운드 26SS 시스루 나일론 점퍼 1종	어반어라운드	어반어라운드 26SS 시스루 나일론 점퍼 1종	단순	01:00	01:50	50	80434300	의류	스포츠/레저	79000	https://live.ecomm-data.com/report/hsshow/264e1fd809efeffc22b70391d2adca17	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250408819&preview=true
NS홈쇼핑	20260710	01:00	02:00	60	히트상품 앵콜방송1부	위엔	히트상품 앵콜방송1부	단순	01:00	02:00	60	13377000	일반식품	식품	499000	https://live.ecomm-data.com/report/hsshow/36e4ded8e3fa7204a7f34a9796822019	https://m.nsmall.com/goods/36021024
롯데홈쇼핑	20260710	01:00	02:00	60	[LBL] 프렌치린넨 실크시스루 롱가디건	LBL	[LBL] 프렌치린넨 실크시스루 롱가디건	단순	01:00	02:00	60	18771200	의류	패션의류	89900	https://live.ecomm-data.com/report/hsshow/3e09b00db9665e3d8164d7695e025bf9	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12845604
현대홈쇼핑 플러스샵	20260710	01:00	01:40	40	[총 16박스] 데이즈온 그린 아세로라C 14포 8+8박스+보틀 (총 224포) 	데이즈온	[총 16박스] 데이즈온 그린 아세로라C 14포 8+8박스+보틀 (총 224포) 	단순	01:00	01:40	40	10084000		식품	248000	https://live.ecomm-data.com/report/hsshow/87aa81490dcf5fc5c8fad6ba07150f6f	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251616131
홈앤쇼핑	20260710	01:00	02:01	61	[방송에서만][더블]데이즈온 그린 아세로라C 16박스+텀블러1개(1.5g x 14포 x 16박스+텀블러 1병)	데이즈온	[방송에서만][더블]데이즈온 그린 아세로라C 16박스+텀블러1개(1.5g x 14포 x 16박스+텀블러 1병)	단순	01:00	02:01	61	66322000	건강식품	식품	248000	https://live.ecomm-data.com/report/hsshow/a9172b28633fe8a01f4f8425cf9baeaf	http://www.hnsmall.com/display/goods.do?goods_code=81604761
공영쇼핑	20260710	01:00	02:00	60	정성곳간 버섯 파불고기 300g x 11팩	정성곳간	정성곳간 버섯 파불고기 300g x 11팩	단순	01:00	02:00	60	33333200	일반식품	식품	49900	https://live.ecomm-data.com/report/hsshow/dd87b0eb17d505040120a8bcab8a4401	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11932471
GS홈쇼핑	20260710	01:00	01:40	40	[총24주분]갱년기엔 이알하나(ERr731) 28정 x 6박스	이알하나	[총24주분]갱년기엔 이알하나(ERr731) 28정 x 6박스	단순	01:00	01:40	40	23236000	건강식품	식품	252000	https://live.ecomm-data.com/report/hsshow/ef2d3ad5af823026beb51baee4f3bbfa	https://www.gsshop.com/prd/prd.gs?prdid=1079393077&brddate=20260710010000&pgmID=13352&ordChannel=WE&tveshop=Y
CJ온스타일	20260710	01:00	01:30	30	지유네추어탕	지유네추어탕	지유네추어탕	단순	01:00	01:30	30	4773600	일반식품	식품	45900	https://live.ecomm-data.com/report/hsshow/f01d1812118896148dd710902347f66e	https://display.cjonstyle.com/p/item/2020734755?channelCode=30002002
롯데원티비	20260710	01:20	02:00	40	[벨뷰] ○ 26SS 스터드 블러 프린트 티셔츠 3종	벨뷰	[벨뷰] ○ 26SS 스터드 블러 프린트 티셔츠 3종	단순	01:20	02:00	40	13098000		패션의류	59000	https://live.ecomm-data.com/report/hsshow/5849b984eea1fb126dbd2e8d0b1fac16	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12895710
CJ온스타일	20260710	01:30	02:30	60	최신상 배종옥 레몬꿀팩 레몬허니워시오프팩 6통+타올1매	라비오라	최신상 배종옥 레몬꿀팩 레몬허니워시오프팩 6통+타올1매	단순	01:30	02:30	60	26679000	미용	화장품/미용	99000	https://live.ecomm-data.com/report/hsshow/994c316ff2e1b5f2989060b23be6262d	https://display.cjonstyle.com/p/item/2070029628?channelCode=30002002
SK스토아	20260710	01:31	02:12	41	★방송에서만★ [14일 무료체험][시즌3] 이지드롭 최다구성패키지(3년치구성) - 변기크리너 2개+리필(향 4종)168회분	★방송에서만★	★방송에서만★ [14일 무료체험][시즌3] 이지드롭 최다구성패키지(3년치구성) - 변기크리너 2개+리필(향 4종)168회분	단순	01:31	02:12	41	7021600	미용	생활/건강	49800	https://live.ecomm-data.com/report/hsshow/4662e47726581b0e1a3ccbaa0886a695	https://www.skstoa.com/display/goods/64482072
