상품대분류명,상품중분류명,상품소분류명,가격구간,전환율,취소율,반품율
스포츠/레저,골프웨어,남성 하의,3_ 30~50만원,25.2%,17%,57.3%
패션의류,남성의류,아우터,4_ 50~100만원,19.0%,38%,44.0%
스포츠/레저,골프웨어,여성 하의,1_ 0~10만원,33.4%,28%,39.4%
패션잡화,신발(명품),로퍼/플랫슈즈,4_ 50~100만원,16.7%,45%,38.7%
생활/건강,건강,온열기/찜질기/자극기,5_ 100만원 이상,18.9%,45%,37.8%
패션의류,여성의류(명품),상의,5_ 100만원 이상,24.3%,40%,37.4%
서비스,여행,국내숙박,4_ 50~100만원,28.0%,37%,35.8%
패션의류,UNISEX캐쥬얼,하의,1_ 0~10만원,23.3%,42%,35.4%
패션잡화,가방(명품),미니백,5_ 100만원 이상,29.6%,33%,35.2%
서비스,회원권/이용권,숙박,4_ 50~100만원,29.5%,36%,34.8%
패션잡화,안경,안경테,2_ 10~30만원,28.1%,39%,34.5%
스포츠/레저,스포츠의류,여성 하의,2_ 10~30만원,36.0%,31%,34.4%
패션의류,여성의류(명품),세트,3_ 30~50만원,11.4%,58%,32.9%
서비스,여행,국내숙박,3_ 30~50만원,31.6%,36%,32.8%
패션의류,여성의류,하의,2_ 10~30만원,33.6%,35%,32.0%
패션의류,여성의류(명품),아우터,4_ 50~100만원,21.8%,47%,31.8%
스포츠/레저,골프웨어,여성 아우터,1_ 0~10만원,36.7%,32%,31.8%
패션의류,여성의류,세트,2_ 10~30만원,32.5%,37%,31.6%
스포츠/레저,스포츠의류,여성 하의,1_ 0~10만원,40.5%,29%,31.5%
스포츠/레저,골프웨어,여성 하의,2_ 10~30만원,36.6%,33%,31.5%
출산/육아,유아안전/실내용품,안전용품,5_ 100만원 이상,23.5%,45%,31.4%
패션의류,여성의류,아우터,3_ 30~50만원,22.2%,48%,31.1%
패션잡화,신발,로퍼/컴포트화,2_ 10~30만원,32.5%,38%,31.1%
패션의류,여성의류(명품),아우터,3_ 30~50만원,22.4%,47%,31.0%
패션잡화,안경,안경테,3_ 30~50만원,34.7%,35%,30.8%
생활/건강,건강,모발용품,1_ 0~10만원,47.2%,23%,30.6%
패션의류,여성의류(명품),아우터,5_ 100만원 이상,24.0%,46%,30.6%
패션의류,여성의류,상의,4_ 50~100만원,16.9%,53%,30.5%
패션잡화,안경,안경테,4_ 50~100만원,31.1%,42%,30.3%
패션의류,여성의류,하의,1_ 0~10만원,40.2%,30%,30.2%
패션잡화,신발,샌들,2_ 10~30만원,36.8%,34%,30.1%
패션의류,여성의류,아우터,2_ 10~30만원,30.0%,41%,30.0%
패션의류,여성의류,아우터,4_ 50~100만원,19.0%,52%,30.0%
패션잡화,안경(명품),선글라스,4_ 50~100만원,19.9%,51%,29.9%
스포츠/레저,골프웨어,여성 아우터,2_ 10~30만원,33.1%,38%,29.8%
패션잡화,신발,앵클부츠,1_ 0~10만원,38.2%,33%,29.7%
패션의류,여성의류,아우터,5_ 100만원 이상,15.1%,56%,29.7%
패션의류,여성의류(명품),아우터,2_ 10~30만원,29.9%,41%,29.5%
패션잡화,안경,선글라스,3_ 30~50만원,37.7%,34%,29.5%
스포츠/레저,스포츠의류,UNISEX 하의,1_ 0~10만원,42.3%,29%,29.5%
생활/건강,건강,모발용품,2_ 10~30만원,38.8%,33%,29.4%
스포츠/레저,스포츠의류,여성 아우터,2_ 10~30만원,35.4%,36%,29.4%
패션의류,여성의류,하의,3_ 30~50만원,25.9%,46%,29.3%
패션잡화,안경,선글라스,4_ 50~100만원,32.3%,40%,29.2%
스포츠/레저,스포츠화/운동화,스니커즈,2_ 10~30만원,42.2%,29%,29.1%
패션잡화,신발(명품),스니커즈,5_ 100만원 이상,32.1%,41%,28.9%
패션잡화,신발,롱부츠,2_ 10~30만원,32.8%,40%,28.8%
패션잡화,신발,부츠,2_ 10~30만원,40.7%,32%,28.7%
스포츠/레저,스포츠화/운동화,방한화/부츠,2_ 10~30만원,44.9%,27%,28.7%
스포츠/레저,스포츠의류,UNISEX 아우터,3_ 30~50만원,19.7%,52%,28.7%
스포츠/레저,골프용품,골프화,1_ 0~10만원,47.8%,24%,28.6%
패션잡화,신발,로퍼/플랫슈즈,2_ 10~30만원,43.9%,28%,28.6%
패션잡화,가방(명품),백팩,2_ 10~30만원,32.0%,40%,28.5%
패션의류,여성의류,세트,4_ 50~100만원,15.1%,57%,28.5%
스포츠/레저,골프용품,골프화,2_ 10~30만원,40.2%,31%,28.4%
패션잡화,패션소품(명품),머플러/스카프/숄,5_ 100만원 이상,19.5%,53%,28.3%
패션잡화,안경,선글라스,2_ 10~30만원,38.7%,34%,28.3%
패션의류,남성의류(명품),아우터,2_ 10~30만원,34.3%,38%,28.2%
패션의류,여성의류(명품),상의,4_ 50~100만원,29.7%,44%,27.9%
생활/건강,건강,병원/의료용품,2_ 10~30만원,34.7%,40%,27.7%
패션의류,여성의류(명품),세트,4_ 50~100만원,18.6%,56%,27.5%
언더웨어,패션속옷,브레지어,2_ 10~30만원,45.1%,28%,27.4%
패션의류,여성의류,상의,2_ 10~30만원,35.9%,38%,27.3%
서비스,회원권/이용권,레저,1_ 0~10만원,20.0%,53%,27.3%
스포츠/레저,스포츠의류,여성 아우터,3_ 30~50만원,35.8%,38%,27.0%
패션잡화,신발(명품),로퍼/플랫슈즈,3_ 30~50만원,32.2%,43%,26.9%
스포츠/레저,스포츠의류,UNISEX 아우터,2_ 10~30만원,33.2%,40%,26.8%
패션의류,여성의류,상의,3_ 30~50만원,27.3%,47%,26.7%
패션의류,여성의류(명품),아우터,1_ 0~10만원,34.6%,39%,26.6%
패션의류,여성의류,세트,3_ 30~50만원,29.0%,45%,26.5%
패션의류,남성의류,아우터,3_ 30~50만원,47.0%,29%,26.3%
언더웨어,이지웨어,내복/내의,2_ 10~30만원,44.2%,31%,26.3%
패션잡화,신발(명품),스니커즈,3_ 30~50만원,28.6%,47%,26.3%
패션잡화,신발,정장화/펌프스/힐,2_ 10~30만원,47.7%,27%,26.1%
스포츠/레저,골프웨어,UNISEX 아우터,2_ 10~30만원,47.6%,26%,26.0%
서비스,여행,국내숙박,2_ 10~30만원,41.1%,34%,25.9%
스포츠/레저,스포츠의류,여성 아우터,1_ 0~10만원,42.9%,32%,25.7%
패션잡화,신발,레인부츠,1_ 0~10만원,46.8%,28%,25.7%
언더웨어,이지웨어,혼합세트,2_ 10~30만원,41.4%,34%,25.7%
패션잡화,신발,앵클부츠,2_ 10~30만원,23.8%,51%,25.6%
패션의류,남성의류,상의,3_ 30~50만원,29.6%,45%,25.5%
패션의류,여성의류,아우터,1_ 0~10만원,41.0%,34%,25.4%
패션잡화,가방,크로스백,4_ 50~100만원,22.9%,55%,25.4%
패션잡화,신발,스니커즈,1_ 0~10만원,48.7%,27%,25.3%
패션잡화,신발,로퍼/플랫슈즈,1_ 0~10만원,46.7%,29%,25.3%
패션잡화,가방,호보백,4_ 50~100만원,19.0%,57%,25.1%
패션잡화,신발,레인부츠,2_ 10~30만원,37.4%,39%,25.0%
패션의류,여성의류,세트,1_ 0~10만원,44.0%,32%,24.9%
스포츠/레저,스포츠의류,여성 상의,2_ 10~30만원,44.4%,31%,24.8%
스포츠/레저,골프웨어,여성 상의,2_ 10~30만원,40.7%,35%,24.7%
스포츠/레저,스포츠화/운동화,운동화,2_ 10~30만원,43.4%,33%,24.6%
패션의류,여성의류(명품),상의,3_ 30~50만원,35.2%,42%,24.6%
패션잡화,신발,슬리퍼,2_ 10~30만원,41.8%,35%,24.4%
문화/취미,애완/반려,식물,1_ 0~10만원,53.8%,23%,24.4%
스포츠/레저,골프웨어,남성 하의,1_ 0~10만원,58.1%,19%,24.3%
패션의류,여성의류(명품),하의,2_ 10~30만원,19.5%,58%,24.3%
패션잡화,신발,샌들,1_ 0~10만원,48.9%,28%,24.1%
스포츠/레저,스포츠의류,여성 세트,1_ 0~10만원,44.4%,33%,24.1%
패션잡화,신발(명품),스니커즈,4_ 50~100만원,28.5%,49%,24.0%
스포츠/레저,스포츠의류,상하의세트,1_ 0~10만원,42.5%,35%,23.9%
언더웨어,보정속옷,브레지어,2_ 10~30만원,54.9%,22%,23.8%
패션잡화,가방(명품),백팩,3_ 30~50만원,32.3%,46%,23.7%
패션잡화,신발(명품),스니커즈,1_ 0~10만원,36.0%,41%,23.7%
스포츠/레저,골프웨어,여성 세트,2_ 10~30만원,42.8%,34%,23.7%
패션잡화,패션소품,머플러/스카프/숄,3_ 30~50만원,34.6%,42%,23.7%
패션잡화,가방(명품),핸드백,3_ 30~50만원,21.5%,56%,23.6%
스포츠/레저,스포츠의류,UNISEX 세트,2_ 10~30만원,46.1%,31%,23.6%
스포츠/레저,골프웨어,UNISEX 상의,2_ 10~30만원,45.7%,31%,23.6%
패션잡화,가방(명품),크로스백,2_ 10~30만원,31.8%,46%,23.5%
스포츠/레저,골프웨어,여성 세트,1_ 0~10만원,45.7%,32%,23.4%
패션의류,여성의류(명품),상의,2_ 10~30만원,37.0%,41%,23.3%
패션잡화,신발(명품),로퍼/플랫슈즈,5_ 100만원 이상,29.2%,49%,23.2%
인테리어,홈데코,커버,2_ 10~30만원,50.7%,26%,23.2%
패션잡화,가방(명품),쇼퍼백,4_ 50~100만원,37.2%,40%,23.2%
패션의류,여성의류,상의,1_ 0~10만원,46.2%,32%,23.0%
패션잡화,가방(명품),숄더백,3_ 30~50만원,29.1%,49%,22.9%
패션잡화,신발,스니커즈,2_ 10~30만원,50.7%,27%,22.9%
패션잡화,가방,숄더백,3_ 30~50만원,36.2%,43%,22.9%
출산/육아,도서/미디어,유아동미디어,3_ 30~50만원,31.5%,46%,22.8%
스포츠/레저,스포츠화/운동화,스니커즈,1_ 0~10만원,51.9%,26%,22.8%
생활/건강,전기/조명,조명용품,5_ 100만원 이상,38.6%,39%,22.7%
스포츠/레저,스포츠의류,여성 아우터,4_ 50~100만원,33.6%,44%,22.7%
패션잡화,안경,선글라스,1_ 0~10만원,50.8%,27%,22.7%
패션잡화,가방(명품),미니백,4_ 50~100만원,16.0%,61%,22.7%
언더웨어,패션속옷,쉐이퍼웨어,1_ 0~10만원,59.8%,21%,22.6%
보석/장신구,쥬얼리(명품),팔찌,5_ 100만원 이상,25.5%,53%,22.5%
패션의류,남성의류,세트,2_ 10~30만원,55.2%,23%,22.4%
언더웨어,보정속옷,브레지어,1_ 0~10만원,59.3%,19%,22.4%
언더웨어,패션속옷,브라+팬티세트,2_ 10~30만원,57.3%,21%,22.3%
패션잡화,신발(명품),스니커즈,2_ 10~30만원,48.3%,30%,22.3%
패션잡화,가방(명품),숄더백,2_ 10~30만원,38.6%,41%,22.3%
언더웨어,보정속옷,쉐이퍼웨어,2_ 10~30만원,56.9%,21%,22.3%
패션잡화,신발,롱부츠,1_ 0~10만원,48.4%,31%,22.2%
스포츠/레저,스포츠의류,여성 상의,1_ 0~10만원,48.8%,30%,22.2%
스포츠/레저,골프웨어,남성 세트,2_ 10~30만원,44.8%,33%,22.1%
서비스,회원권/이용권,숙박,3_ 30~50만원,40.8%,37%,22.1%
패션잡화,가방,숄더백,2_ 10~30만원,37.2%,42%,22.1%
보석/장신구,쥬얼리(명품),팔찌,4_ 50~100만원,29.3%,50%,22.0%
패션잡화,신발,첼시부츠,3_ 30~50만원,33.4%,45%,22.0%
패션잡화,패션소품,모자,2_ 10~30만원,49.3%,29%,22.0%
패션잡화,신발,정장화/펌프스/힐,1_ 0~10만원,50.0%,29%,22.0%
패션잡화,가방(명품),크로스백,3_ 30~50만원,33.2%,47%,22.0%
언더웨어,보정속옷,쉐이퍼웨어,1_ 0~10만원,58.4%,21%,22.0%
스포츠/레저,스포츠의류,UNISEX 기타 스포츠웨어,1_ 0~10만원,56.2%,23%,21.9%
패션잡화,신발,부츠,1_ 0~10만원,48.6%,31%,21.9%
패션의류,남성의류(명품),상의,2_ 10~30만원,35.9%,42%,21.8%
서비스,회원권/이용권,숙박,2_ 10~30만원,43.6%,35%,21.8%
패션잡화,가방(명품),토트백,3_ 30~50만원,28.5%,52%,21.8%
패션의류,여성의류(명품),상의,1_ 0~10만원,45.1%,34%,21.8%
패션잡화,가방(명품),숄더백,5_ 100만원 이상,25.9%,53%,21.7%
스포츠/레저,스포츠의류,여성 세트,2_ 10~30만원,45.5%,34%,21.7%
스포츠/레저,스포츠의류,UNISEX 아우터,1_ 0~10만원,46.9%,33%,21.6%
패션잡화,신발,어그부츠,2_ 10~30만원,38.9%,41%,21.6%
패션잡화,가방(명품),백팩,5_ 100만원 이상,30.7%,48%,21.6%
패션잡화,가방(명품),보스턴백,4_ 50~100만원,30.4%,49%,21.5%
패션잡화,가방(명품),크로스백,4_ 50~100만원,32.9%,47%,21.4%
패션잡화,신발,부츠,3_ 30~50만원,29.6%,49%,21.3%
스포츠/레저,골프웨어,여성 상의,1_ 0~10만원,51.6%,28%,21.2%
스포츠/레저,스포츠의류,UNISEX 기타 스포츠웨어,2_ 10~30만원,52.3%,28%,21.2%
패션잡화,신발(명품),기능화,2_ 10~30만원,43.0%,36%,21.1%
스포츠/레저,스포츠의류,여성 스포츠 내의,1_ 0~10만원,55.5%,23%,21.1%
패션잡화,가방,보스턴백,1_ 0~10만원,39.2%,40%,21.1%
패션잡화,가방,보스턴백,2_ 10~30만원,33.8%,46%,21.1%
패션잡화,가방(명품),크로스백,5_ 100만원 이상,27.7%,52%,21.0%
패션잡화,패션소품,소품세트,1_ 0~10만원,47.9%,31%,20.9%
스포츠/레저,골프웨어,남성 하의,2_ 10~30만원,59.1%,20%,20.9%
패션잡화,가방,쇼퍼백,2_ 10~30만원,30.1%,50%,20.9%
패션잡화,가방,토트백,2_ 10~30만원,38.7%,41%,20.8%
패션잡화,신발,스니커즈,3_ 30~50만원,26.6%,54%,20.8%
보석/장신구,쥬얼리(명품),팔찌,2_ 10~30만원,25.8%,55%,20.8%
패션잡화,지갑(명품),장지갑,4_ 50~100만원,31.2%,49%,20.7%
스포츠/레저,골프웨어,패션잡화,2_ 10~30만원,41.0%,39%,20.6%
보석/장신구,쥬얼리(명품),팔찌,3_ 30~50만원,30.1%,51%,20.5%
패션잡화,가방,쇼퍼백,1_ 0~10만원,35.2%,46%,20.5%
패션의류,남성의류,하의,2_ 10~30만원,63.0%,17%,20.5%
언더웨어,패션속옷,브라+팬티세트,1_ 0~10만원,58.7%,21%,20.4%
패션잡화,가방(명품),토트백,5_ 100만원 이상,24.4%,56%,20.4%
출산/육아,주니어 의류,바지/팬츠,1_ 0~10만원,47.8%,38%,20.3%
패션잡화,가방(명품),미니백,2_ 10~30만원,31.4%,49%,20.3%
패션잡화,패션소품(명품),시계,2_ 10~30만원,34.8%,45%,20.3%
패션잡화,패션소품,시계,3_ 30~50만원,30.7%,51%,20.2%
패션잡화,지갑(명품),장지갑,5_ 100만원 이상,31.5%,49%,20.2%
패션잡화,신발,기능화,2_ 10~30만원,58.3%,22%,20.1%
